Station,Nutrient (uM),Temperature (¡æ),Pseudo-nitzschia_Growth rates (d-1),Leptopcylindrus_Growth rates (d-1),
PM8,12.140,32.68,0.655,-0.102,
PM8,32.140,28.55,2.194,1.532,
PM8,32.140,28.55,2.122,1.491,
PM8,32.140,25.91,1.956,1.387,
PM8,32.140,25.91,2.043,1.321,
PM8,32.140,21.87,1.906,1.191,
PM8,32.140,21.87,1.810,1.104,
PM8,32.140,31.34,1.571,0.652,
PM8,32.140,31.34,1.628,0.568,
PM8,32.140,32.68,0.844,-0.476,
PM8,32.140,32.68,0.943,-0.366,
PM7,1.709,27.70,0.522,0.280,
PM7,1.709,27.70,0.435,0.177,
PM7,1.709,25.12,0.389,-0.022,
PM7,1.709,25.12,0.425,0.134,
PM7,1.709,30.69,0.394,0.117,
PM7,1.709,30.69,0.315,0.157,
PM7,1.709,32.47,-0.258,-0.137,
PM7,1.709,32.47,-0.092,0.038,
PM7,2.709,27.70,1.625,1.008,
PM7,2.709,27.70,1.612,0.934,
PM7,2.709,25.12,1.202,0.834,
PM7,2.709,25.12,1.043,0.870,
PM7,2.709,30.69,1.068,0.596,
PM7,2.709,30.69,1.081,0.679,
PM7,2.709,32.47,0.660,0.340,
PM7,2.709,32.47,0.691,0.218,
PM7,5.709,27.70,2.400,1.570,
PM7,5.709,27.70,2.342,1.571,
PM7,5.709,25.12,1.947,1.361,
PM7,5.709,25.12,1.947,1.320,
PM7,5.709,30.69,2.196,1.169,
PM7,5.709,30.69,2.106,1.125,
PM7,5.709,32.47,0.909,0.218,
PM7,5.709,32.47,0.832,0.313,
PM7,11.709,27.70,2.754,1.753,
PM7,11.709,27.70,2.763,1.815,
PM7,11.709,25.12,2.450,1.456,
PM7,11.709,25.12,2.355,1.256,
PM7,11.709,30.69,2.477,1.709,
PM7,11.709,30.69,2.535,1.709,
PM7,11.709,32.47,1.050,0.346,
PM7,11.709,32.47,0.979,0.250,
PM7,31.709,27.70,2.714,1.985,
PM7,31.709,27.70,2.681,2.054,
PM7,31.709,25.12,2.446,1.601,
PM7,31.709,25.12,2.313,1.587,
PM7,31.709,30.69,2.612,2.013,
PM7,31.709,30.69,2.752,1.992,
PM7,31.709,32.47,1.050,0.304,
PM7,31.709,32.47,0.874,0.279,
EP03,13.793,29.66,0.962,0.743,
EP03,13.793,29.66,0.856,0.793,
EP03,13.793,26.90,0.814,0.861,
EP03,13.793,26.90,0.715,0.806,
EP03,13.793,23.28,0.655,0.649,
EP03,13.793,23.28,0.623,0.581,
EP03,13.793,32.55,0.261,0.104,
EP03,13.793,32.55,0.214,0.077,
EP03,13.793,34.69,-0.061,-1.347,
EP03,13.793,34.69,-0.238,-1.241,
EP03,31.433,29.66,1.681,1.949,
EP03,31.433,29.66,1.605,2.023,
EP03,31.433,26.90,1.443,1.985,
EP03,31.433,26.90,1.313,2.002,
EP03,31.433,23.28,1.215,1.768,
EP03,31.433,23.28,1.208,1.690,
EP03,31.433,32.55,0.216,0.474,
EP03,31.433,32.55,0.120,0.393,
EP03,31.433,34.69,-0.226,-1.231,
EP03,31.433,34.69,-0.372,-1.136,
P03,4.243,28.93,1.005,0.823,
P03,4.243,28.93,1.160,0.909,
P03,4.243,27.75,1.049,0.879,
P03,4.243,27.75,1.140,1.022,
P03,4.243,24.31,0.722,0.710,
P03,4.243,24.31,0.722,0.614,
P03,4.243,32.24,0.514,0.210,
P03,4.243,32.24,0.495,0.167,
P03,4.243,34.69,0.083,-1.236,
P03,4.243,34.69,0.145,-1.247,
P03,24.243,28.93,1.386,2.089,
P03,24.243,28.93,1.417,2.116,
P03,24.243,27.75,1.296,1.839,
P03,24.243,27.75,1.420,1.880,
P03,24.243,24.31,1.105,1.411,
P03,24.243,24.31,1.126,1.455,
P03,24.243,32.24,0.181,0.532,
P03,24.243,32.24,0.149,0.265,
P03,24.243,34.69,-0.179,-1.727,
P03,24.243,34.69,-0.297,-1.515,
